rank,prev_rank,name,league,off,def,spi
488,495,Bodo/Glimt,Norwegian Tippeligaen,0.8,1.56,27.71
489,467,Excelsior,Dutch Eredivisie,1.12,2.02,27.65
490,489,AD Alcorcon,Spanish Segunda Division,0.71,1.43,27.57
491,480,Emmen,Dutch Eredivisie,1.11,2.01,27.56
492,493,San Jose Earthquakes,Major League Soccer,1.12,2.03,27.53
493,479,Erzgebirge Aue,German 2. Bundesliga,0.87,1.67,27.47
494,497,Lillestrom,Norwegian Tippeligaen,0.92,1.75,27.44
495,487,AS Nancy Lorraine,French Ligue 2,0.82,1.61,27.43
496,501,Sacramento Republic FC,United Soccer League,0.84,1.64,27.37
497,536,Burton Albion,English League One,0.77,1.54,27.19
498,481,Levadiakos,Greek Super League,0.6,1.28,27.09
499,507,Hobro IK,Danish SAS-Ligaen,0.78,1.57,27.04
500,492,FC Wacker Innsbruck,Austrian T-Mobile Bundesliga,0.76,1.54,26.97
501,484,Auxerre,French Ligue 2,0.67,1.41,26.88
502,496,Elche,Spanish Segunda Division,0.77,1.57,26.75
503,500,Tromso,Norwegian Tippeligaen,1.04,1.96,26.72
504,508,Cosenza,Italy Serie B,0.74,1.55,26.48
505,491,Hearts,Scottish Premiership,0.75,1.57,26.35
506,505,V-Varen Nagasaki,Japanese J League,0.92,1.82,26.29
507,511,Grenoble,French Ligue 2,0.78,1.61,26.29
508,512,Reno 1868 FC,United Soccer League,0.91,1.81,26.09
509,509,Bristol Rovers,English League One,0.65,1.43,26.07
510,516,Livingston,Scottish Premiership,0.75,1.58,25.99
511,503,Vegalta Sendai,Japanese J League,0.91,1.82,25.96
512,499,Vendsyssel,Danish SAS-Ligaen,0.8,1.66,25.95
513,524,Fleetwood Town,English League One,0.75,1.6,25.7
514,513,IFK Goteborg,Swedish Allsvenskan,1.0,1.98,25.62
515,514,SuperSport United,South African ABSA Premier League,0.61,1.38,25.53
516,526,Tenerife,Spanish Segunda Division,0.66,1.48,25.32
517,518,Ranheim,Norwegian Tippeligaen,0.97,1.96,25.3
518,520,New York Red Bulls II,United Soccer League,1.07,2.11,25.14
519,521,Sandefjord,Norwegian Tippeligaen,1.0,2.03,25.03
520,532,North Carolina FC,United Soccer League,0.98,1.99,24.97
521,523,IF Elfsborg,Swedish Allsvenskan,0.82,1.75,24.95
522,546,Oita Trinita,Japanese J League,0.8,1.73,24.92
523,515,US Pescara,Italy Serie B,0.84,1.79,24.86
524,525,SpVgg Greuther Fürth,German 2. Bundesliga,0.8,1.73,24.85
525,519,Brisbane Roar,Australian A-League,1.06,2.12,24.81
526,530,Salernitana,Italy Serie B,0.73,1.63,24.68
527,522,Extremadura UD,Spanish Segunda Division,0.74,1.65,24.67
528,537,Colorado Rapids,Major League Soccer,0.87,1.86,24.46
529,517,Jubilo Iwata,Japanese J League,0.73,1.66,24.35
530,533,Cremonese,Italy Serie B,0.61,1.47,24.34
531,529,Highlands Park FC,South African ABSA Premier League,0.78,1.73,24.31
532,534,MSV Duisburg,German 2. Bundesliga,0.88,1.89,24.2
533,544,Foggia,Italy Serie B,0.78,1.74,24.19
