rank,prev_rank,name,league,off,def,spi
157,186,Rostov,Russian Premier Liga,1.06,0.66,55.76
158,151,Bahía,Brasileiro Série A,1.33,0.91,55.75
159,155,Amiens,French Ligue 1,1.31,0.9,55.48
160,157,Jablonec,UEFA Europa League,1.46,1.06,55.07
161,160,León,Mexican Primera Division Torneo Clausura,1.53,1.13,54.99
162,168,FC Arsenal Tula,Russian Premier Liga,1.55,1.15,54.95
163,192,FC Utrecht,Dutch Eredivisie,1.69,1.29,54.81
164,164,West Bromwich Albion,English League Championship,1.52,1.13,54.8
165,170,Chievo Verona,Italy Serie A,1.48,1.09,54.6
166,173,Guimaraes,Portuguese Liga,1.33,0.97,54.24
167,183,Slavia Prague,UEFA Europa League,1.31,0.97,53.85
168,154,Middlesbrough,English League Championship,1.31,0.97,53.68
169,174,Guingamp,French Ligue 1,1.31,0.97,53.66
170,171,FC Cologne,German 2. Bundesliga,1.71,1.36,53.62
171,161,Dinamo Moscow,Russian Premier Liga,1.16,0.83,53.61
172,172,IFK Norrkoping,Swedish Allsvenskan,1.59,1.25,53.54
173,158,Defensa y Justicia,Argentina Primera Division,1.26,0.93,53.5
174,166,Huddersfield Town,Barclays Premier League,1.38,1.05,53.47
175,176,Molde,Norwegian Tippeligaen,1.85,1.52,53.13
176,152,St. Truidense,Belgian Jupiler League,1.49,1.18,52.86
177,159,Atromitos,Greek Super League,1.34,1.03,52.83
178,179,Jiangsu Suning FC,Chinese Super League,1.52,1.21,52.8
179,190,Cruz Azul,Mexican Primera Division Torneo Clausura,1.39,1.09,52.62
180,208,Mouscron-Peruwelz,Belgian Jupiler League,1.38,1.09,52.46
181,175,Parma,Italy Serie A,1.54,1.25,52.45
182,178,Thun,Swiss Raiffeisen Super League,1.71,1.43,52.24
183,182,Corinthians,Brasileiro Série A,1.18,0.9,52.17
184,189,New York Red Bulls,Major League Soccer,1.47,1.19,52.1
185,184,Ceará,Brasileiro Série A,1.25,0.98,52.02
186,188,Frosinone,Italy Serie A,1.4,1.14,51.71
187,169,Kawasaki Frontale,Japanese J League,1.43,1.17,51.69
188,207,KV Kortrijk,Belgian Jupiler League,1.51,1.25,51.61
189,191,Vasco da Gama,Brasileiro Série A,1.27,1.02,51.58
190,185,Bristol City,English League Championship,1.32,1.06,51.52
191,180,Pachuca,Mexican Primera Division Torneo Clausura,1.51,1.26,51.43
192,181,Dijon FCO,French Ligue 1,1.29,1.05,51.38
193,193,Botafogo,Brasileiro Série A,1.27,1.03,51.25
194,206,Terek Grozny,Russian Premier Liga,1.09,0.85,51.16
195,202,1. FC Nürnberg,German Bundesliga,1.42,1.19,51.1
196,225,Gazovik Orenburg,Russian Premier Liga,1.24,1.01,51.02
197,196,Swansea City,English League Championship,1.48,1.26,50.86
198,204,Preston North End,English League Championship,1.38,1.15,50.82
199,200,BATE Borisov,UEFA Europa League,1.51,1.3,50.51
200,197,Stoke City,English League Championship,1.12,0.92,50.26
201,213,Urawa Red Diamonds,Japanese J League,1.52,1.33,50.15
202,194,Santos Laguna,Mexican Primera Division Torneo Clausura,1.43,1.24,50.11
203,203,Velez Sarsfield,Argentina Primera Division,1.23,1.03,50.07
204,167,Rubin Kazan,Russian Premier Liga,1.12,0.93,50.07
205,201,CA Independiente,Argentina Primera Division,1.32,1.14,49.65
206,220,Sheffield Wednesday,English League Championship,1.3,1.13,49.5
207,198,Vitesse,Dutch Eredivisie,1.69,1.54,49.19
208,212,Chapecoense AF,Brasileiro Série A,1.17,1.02,49.15
209,215,Aris Salonika,Greek Super League,1.27,1.12,49.03
210,216,Apollon Limassol,UEFA Europa League,1.37,1.22,49.03
211,217,Rosenborg,Norwegian Tippeligaen,1.36,1.22,48.91
212,195,Nottingham Forest,English League Championship,1.31,1.17,48.86
213,187,Konyaspor,Turkish Turkcell Super Lig,1.21,1.07,48.79
214,219,SK Sturm Graz,Austrian T-Mobile Bundesliga,1.23,1.09,48.74
215,214,Hannover 96,German Bundesliga,1.56,1.44,48.69
216,236,Kashima Antlers,Japanese J League,1.43,1.3,48.65
217,218,Shandong Luneng,Chinese Super League,1.49,1.38,48.48
218,231,Millwall,English League Championship,1.29,1.17,48.44
219,224,Belenenses,Portuguese Liga,1.23,1.11,48.25
220,233,Yeni Malatyaspor,Turkish Turkcell Super Lig,1.42,1.31,48.17
221,240,Perth Glory,Australian A-League,1.51,1.41,48.13
222,211,Atlanta United FC,Major League Soccer,1.42,1.32,48.11
223,210,Birmingham,English League Championship,1.34,1.23,48.04
224,234,Union Santa Fe,Argentina Primera Division,1.19,1.09,47.67
225,223,Moreirense,Portuguese Liga,1.21,1.12,47.39
226,242,Portimonense,Portuguese Liga,1.43,1.36,47.35
227,205,Caen,French Ligue 1,1.17,1.08,47.23
228,232,FC Groningen,Dutch Eredivisie,1.24,1.17,47.23
229,251,Brondby,Danish SAS-Ligaen,1.69,1.64,47.16
230,222,Rapid Vienna,Austrian T-Mobile Bundesliga,1.4,1.34,47.08
231,229,Sivasspor,Turkish Turkcell Super Lig,1.57,1.53,46.96
232,245,Banfield,Argentina Primera Division,1.22,1.16,46.84
233,270,Krylia Sovetov,Russian Premier Liga,1.26,1.2,46.77
234,221,Nagoya Grampus Eight,Japanese J League,1.57,1.54,46.73
235,237,FC Zurich,Swiss Raiffeisen Super League,1.35,1.3,46.73
236,227,Guadalajara,Mexican Primera Division Torneo Clausura,1.23,1.17,46.68
237,253,Los Angeles FC,Major League Soccer,1.58,1.55,46.67
238,228,Sporting Kansas City,Major League Soccer,1.39,1.36,46.58
239,238,FK Qarabag,UEFA Europa League,1.26,1.22,46.48
240,272,FC Lugano,Swiss Raiffeisen Super League,1.33,1.3,46.43
241,239,Vorskla,UEFA Europa League,1.19,1.14,46.43
242,294,Osasuna,Spanish Segunda Division,1.14,1.1,46.36
243,257,Metz,French Ligue 2,1.18,1.14,46.35
244,252,Blackburn,English League Championship,1.39,1.36,46.35
245,243,Dalian Aerbin,Chinese Super League,1.44,1.42,46.28
246,250,Queens Park Rangers,English League Championship,1.33,1.3,46.27
247,199,Heerenveen,Dutch Eredivisie,1.98,2.0,46.21
248,265,Necaxa,Mexican Primera Division Torneo Clausura,1.38,1.36,46.17
249,254,FC Nordsjaelland,Danish SAS-Ligaen,1.62,1.61,46.13
250,246,Östersunds FK,Swedish Allsvenskan,1.49,1.48,46.11
251,248,Toluca,Mexican Primera Division Torneo Clausura,1.29,1.27,46.09
252,282,Tigre,Argentina Primera Division,1.41,1.41,45.79
253,263,FC Luzern,Swiss Raiffeisen Super League,1.53,1.55,45.73
254,249,FC Sion,Swiss Raiffeisen Super League,1.45,1.45,45.72
255,209,Alanyaspor,Turkish Turkcell Super Lig,1.31,1.32,45.47
256,259,Seattle Sounders FC,Major League Soccer,1.43,1.45,45.43
257,258,Fluminense,Brasileiro Série A,1.1,1.09,45.32
258,230,Antwerp,Belgian Jupiler League,1.2,1.2,45.32
259,261,Atlético Tucumán,Argentina Primera Division,1.25,1.26,45.27
260,226,Sporting de Charleroi,Belgian Jupiler League,1.41,1.44,45.26
261,274,SV Zulte Waregem,Belgian Jupiler League,1.7,1.75,45.21
262,262,AEK Larnaca,UEFA Europa League,1.17,1.17,45.21
263,260,Desportivo Aves,Portuguese Liga,1.18,1.19,45.19
264,256,Newell's Old Boys,Argentina Primera Division,1.13,1.13,45.1
265,281,Kasimpasa,Turkish Turkcell Super Lig,1.67,1.73,44.9
266,267,Derby County,English League Championship,1.15,1.17,44.85
267,247,Hull City,English League Championship,1.39,1.43,44.85
268,271,Tijuana,Mexican Primera Division Torneo Clausura,1.24,1.27,44.77
269,235,Talleres de Córdoba,Argentina Primera Division,1.06,1.08,44.77
270,255,Lanus,Argentina Primera Division,1.12,1.16,44.4
271,241,Luton Town,English League One,1.23,1.28,44.39
272,244,FC Ufa,Russian Premier Liga,1.01,1.03,44.38
273,266,FK Austria Vienna,Austrian T-Mobile Bundesliga,1.39,1.46,44.25
274,264,New York City FC,Major League Soccer,1.38,1.46,44.14
275,273,Videoton FC,UEFA Europa League,1.21,1.27,44.06
276,276,Pumas Unam,Mexican Primera Division Torneo Clausura,1.31,1.39,43.98
277,269,Toronto FC,Major League Soccer,1.53,1.64,43.89
278,311,DC United,Major League Soccer,1.37,1.46,43.81
279,278,Changchun Yatai,Chinese Super League,1.39,1.49,43.73
280,279,Hammarby,Swedish Allsvenskan,1.4,1.51,43.61
281,280,América Mineiro,Brasileiro Série A,1.13,1.2,43.61
282,275,Hamburg SV,German 2. Bundesliga,1.24,1.34,43.26
283,283,Rio Ave,Portuguese Liga,1.26,1.36,43.25
284,307,Odense BK,Danish SAS-Ligaen,1.21,1.31,43.21
285,268,Panathinaikos,Greek Super League,0.93,0.99,43.07
286,295,Argentinos Juniors,Argentina Primera Division,1.02,1.1,43.04
287,289,Chaves,Portuguese Liga,1.12,1.22,42.8
288,284,1. FC Union Berlin,German 2. Bundesliga,1.28,1.41,42.72
289,292,Ural Sverdlovsk Oblast,Russian Premier Liga,1.16,1.27,42.61
290,288,Goztepe,Turkish Turkcell Super Lig,1.12,1.24,42.56
291,287,Columbus Crew,Major League Soccer,1.17,1.29,42.47
292,285,Cashpoint SC Rheindorf Altach,Austrian T-Mobile Bundesliga,1.28,1.43,42.34
293,340,Willem II,Dutch Eredivisie,1.67,1.86,42.32
294,303,San Lorenzo,Argentina Primera Division,1.06,1.17,42.29
295,310,Philadelphia Union,Major League Soccer,1.35,1.51,42.24
296,290,Vitoria Setubal,Portuguese Liga,0.99,1.1,42.24
297,317,Kayserispor,Turkish Turkcell Super Lig,1.16,1.3,42.04
298,277,Sydney FC,Australian A-League,1.27,1.43,42.0
299,298,Rotherham United,English League Championship,1.27,1.43,41.99
300,305,Santa Clara,Portuguese Liga,1.1,1.24,41.93
301,320,SV Mattersburg,Austrian T-Mobile Bundesliga,1.33,1.51,41.86
302,297,Vítoria,Brasileiro Série A,1.21,1.37,41.82
303,319,Bursaspor,Turkish Turkcell Super Lig,1.07,1.21,41.8
304,299,Guangzhou RF,Chinese Super League,1.49,1.69,41.8
305,300,Huracán,Argentina Primera Division,1.12,1.27,41.78
306,293,Wigan,English League Championship,1.24,1.41,41.74
307,304,Sport Recife,Brasileiro Série A,1.11,1.26,41.57
308,331,AaB,Danish SAS-Ligaen,1.34,1.53,41.52
309,387,Panetolikos,Greek Super League,1.2,1.38,41.46
310,332,Holstein Kiel,German 2. Bundesliga,1.47,1.69,41.31
311,296,Vissel Kobe,Japanese J League,1.29,1.49,41.24
312,291,Colon Santa Fe,Argentina Primera Division,1.0,1.16,41.06
313,312,Estudiantes,Argentina Primera Division,0.98,1.13,41.03
314,314,Kashiwa Reysol,Japanese J League,1.44,1.68,40.89
315,286,Barnsley,English League One,1.01,1.18,40.86
316,315,Deportivo La Coruña,Spanish Segunda Division,1.03,1.21,40.84
317,316,Godoy Cruz,Argentina Primera Division,1.05,1.23,40.82
318,326,Montreal Impact,Major League Soccer,1.19,1.4,40.71
319,342,Melbourne City,Australian A-League,1.14,1.35,40.64
320,325,FC Dallas,Major League Soccer,1.18,1.41,40.31
321,322,Granada,Spanish Segunda Division,0.82,0.98,40.29
322,321,Puebla,Mexican Primera Division Torneo Clausura,1.11,1.32,40.29
323,306,Asteras Tripolis,Greek Super League,0.85,1.02,40.2
324,301,Cadiz,Spanish Segunda Division,1.02,1.22,40.18
325,309,Erzurumspor,Turkish Turkcell Super Lig,1.14,1.37,40.17
326,348,Waasland-Beveren,Belgian Jupiler League,1.42,1.7,40.16
327,324,Djurgardens IF,Swedish Allsvenskan,1.09,1.3,40.14
328,349,Aldosivi,Argentina Primera Division,0.98,1.18,40.14
329,318,Boavista,Portuguese Liga,1.05,1.26,40.1
330,351,Heracles,Dutch Eredivisie,1.55,1.85,39.93
331,313,Akhisar Belediye,Turkish Turkcell Super Lig,1.21,1.46,39.79
332,323,Rosario Central,Argentina Primera Division,0.95,1.16,39.64
333,347,Patronato,Argentina Primera Division,1.11,1.35,39.62
334,308,Portland Timbers,Major League Soccer,1.39,1.69,39.6
335,333,Los Angeles Galaxy,Major League Soccer,1.52,1.84,39.56
336,336,C.D. Nacional,Portuguese Liga,1.19,1.47,39.41
337,362,Gamba Osaka,Japanese J League,1.31,1.6,39.39
338,334,Sarpsborg,Norwegian Tippeligaen,1.24,1.52,39.36
339,346,Mamelodi Sundowns,South African ABSA Premier League,1.01,1.25,39.34
340,302,St Gallen,Swiss Raiffeisen Super League,1.42,1.75,39.23
341,328,Tondela,Portuguese Liga,1.17,1.45,39.17
342,335,Atlas,Mexican Primera Division Torneo Clausura,1.15,1.42,39.13
343,341,Belgrano Cordoba,Argentina Primera Division,0.9,1.12,39.08
344,330,Wolfsberger AC,Austrian T-Mobile Bundesliga,1.18,1.47,38.99
345,329,San Martin San Juan,Argentina Primera Division,1.09,1.36,38.87
346,344,San Martin de Tucuman,Argentina Primera Division,1.15,1.45,38.78
347,345,SK Brann,Norwegian Tippeligaen,1.22,1.52,38.78
348,373,Hibernian,Scottish Premiership,1.2,1.51,38.76
349,363,Antalyaspor,Turkish Turkcell Super Lig,1.2,1.5,38.74
350,361,FC Tokyo,Japanese J League,1.0,1.26,38.71
351,338,Troyes,French Ligue 2,0.95,1.21,38.68
352,350,Tianjin Quanujian,Chinese Super League,1.17,1.48,38.57
353,343,Morelia,Mexican Primera Division Torneo Clausura,1.18,1.5,38.37
354,353,Brest,French Ligue 2,1.21,1.53,38.36
355,358,Melbourne Victory,Australian A-League,1.34,1.69,38.34
356,355,Shanghai Greenland,Chinese Super League,1.24,1.57,38.27
357,339,Aberdeen,Scottish Premiership,1.24,1.58,38.24
358,414,PEC Zwolle,Dutch Eredivisie,1.18,1.5,38.21
359,356,Hebei China Fortune FC,Chinese Super League,1.25,1.6,38.2
360,364,Gimnasia La Plata,Argentina Primera Division,0.95,1.24,38.05
361,357,Newcastle Jets,Australian A-League,1.31,1.7,37.45
362,367,Brescia,Italy Serie B,1.25,1.63,37.43
363,368,Jahn Regensburg,German 2. Bundesliga,1.29,1.69,37.38
364,369,F91 Dudelange,UEFA Europa League,1.35,1.76,37.32
365,360,Cerezo Osaka,Japanese J League,1.0,1.34,37.3
366,327,Yokohama F. Marinos,Japanese J League,1.34,1.75,37.15
367,370,Guizhou Renhe,Chinese Super League,1.04,1.39,37.13
368,371,Kristiansund BK,Norwegian Tippeligaen,1.32,1.73,37.09
369,376,Larissa,Greek Super League,0.86,1.17,37.07
370,354,Maritimo,Portuguese Liga,0.96,1.29,37.0
371,372,Haugesund,Norwegian Tippeligaen,1.1,1.47,36.98
372,399,Mallorca,Spanish Segunda Division,0.99,1.34,36.89
373,392,Arminia Bielefeld,German 2. Bundesliga,1.17,1.56,36.85
374,352,Consadole Sapporo,Japanese J League,1.27,1.68,36.8
375,337,Real Salt Lake,Major League Soccer,1.27,1.69,36.77
376,377,Tianjin Teda,Chinese Super League,1.17,1.57,36.76
377,366,Sunderland,English League One,1.08,1.46,36.75
378,378,Orlando Pirates,South African ABSA Premier League,1.06,1.43,36.74
379,374,SC Paderborn,German 2. Bundesliga,1.31,1.75,36.7
380,382,New England Revolution,Major League Soccer,1.17,1.58,36.61
381,379,Lens,French Ligue 2,0.98,1.34,36.55
382,391,FC Trenkwalder Admira,Austrian T-Mobile Bundesliga,1.4,1.86,36.55
383,365,FC Xanthi,Greek Super League,0.64,0.9,36.44
384,386,Houston Dynamo,Major League Soccer,1.27,1.71,36.43
385,383,Albacete,Spanish Segunda Division,0.8,1.12,36.23
386,446,Clermont Foot,French Ligue 2,0.89,1.24,36.04
387,403,Hartberg,Austrian T-Mobile Bundesliga,1.5,2.01,35.95
388,384,Querétaro,Mexican Primera Division Torneo Clausura,1.03,1.44,35.94
389,388,FC Spartak Trnava,UEFA Europa League,0.9,1.27,35.94
390,380,ADO Den Haag,Dutch Eredivisie,1.3,1.77,35.89
391,390,GIF Sundsvall,Swedish Allsvenskan,1.08,1.51,35.8
392,394,Shimizu S-Pulse,Japanese J League,1.37,1.87,35.79
393,396,Sanfrecce Hiroshima,Japanese J League,0.96,1.36,35.59
